,0
0,-0.9999881
1,0.7715496
2,-0.91326874
3,0.8119609
4,0.78246087
5,0.73027766
6,-0.37469667
7,-0.983323
8,-0.8809222
9,0.68962157
10,-0.980971
11,-0.670522
12,-0.98434037
13,0.83093584
14,0.8324935
15,0.8261521
16,-0.9932628
17,-0.9743006
18,0.8131588
19,-0.7899502
20,-0.84282553
21,0.81511223
22,-0.9923559
23,0.8223655
24,-0.14506498
25,-0.77883327
26,-0.8657573
27,-0.7127756
28,-0.9583295
29,-0.7236182
30,-0.99758106
31,-0.901721
32,-0.9557562
33,-0.99897987
34,-0.9184921
35,-0.9995246
36,-0.966781
37,-0.7412077
38,-0.9963574
39,-0.990854
40,-0.98327637
41,-0.93312764
42,-0.9250358
43,-0.9991261
44,-0.96836686
45,-0.94655746
46,-0.9756045
47,-0.7890508
48,-0.98300576
49,-0.9839839
50,-0.77862865
51,-0.9482992
52,-0.7880947
53,-0.9021598
54,-0.92513806
55,-0.9057979
56,-0.93597096
57,-0.99645567
58,-0.8136999
59,-0.7847912
60,-0.9537923
61,-0.9419101
62,-0.9999339
63,-0.8525267
64,-0.95327383
65,-0.5858249
66,-0.7625918
67,-0.99794817
68,-0.9276573
69,-0.99340767
70,-0.9900622
71,-0.8481893
72,-0.9592353
73,-0.9977787
74,-0.9048543
75,-0.86870354
76,-0.5623171
77,-0.88177854
78,-0.9835315
79,-0.9198651
80,-0.9480125
81,-0.8070136
82,-0.91601795
83,-0.8569965
84,-0.9052612
85,-0.81025314
86,-0.91568255
87,-0.94762605
88,-0.8749963
89,-0.770621
90,-0.9527702
91,-0.97214556
92,-0.89340526
93,-0.86014104
94,-0.94932437
95,-0.85193074
96,-0.83628374
97,-0.7884911
98,-0.72645175
99,-0.9489159
100,-0.98520136
101,-0.7984318
102,-0.9206789
103,-0.99755925
104,-0.866431
105,-0.83377343
106,-0.9980144
107,-0.9916307
108,-0.9441824
109,-0.95475614
110,-0.9501513
111,-0.99921906
112,-0.9070641
113,-0.9849579
114,-0.9999778
115,-0.8428439
116,-0.8176211
117,-0.9978245
118,-0.7143404
119,-0.9997403
120,-0.9920652
121,-0.9914229
122,-0.779738
123,-0.9450481
124,-0.98732555
125,-0.99709046
126,-0.9458006
127,-0.8135098
128,-0.98552555
129,-0.93277895
130,-0.9647833
131,-0.99729383
132,-0.9913997
133,-0.95377874
134,-0.98845726
135,-0.9997107
136,-0.98023385
137,-0.9953914
138,-0.906915
139,-0.9982066
140,-0.8282876
141,-0.99033
142,-0.9653879
143,-0.9840533
144,-0.9883003
145,-0.94311166
146,-0.87968725
147,-0.9805471
148,-0.9866144
149,-0.9008538
150,-0.9937232
151,-0.999995
152,-0.9997722
153,-0.9391713
154,-0.9999888
155,-0.93329614
156,-0.98052806
157,-0.99540776
158,-0.9800416
159,-0.99417
160,-0.986909
161,-0.8135375
162,-0.99999976
163,-0.9677341
164,-0.9924744
165,-0.9505637
166,-0.99528784
167,-0.99463
168,-0.99987954
169,-0.82970184
170,-0.94013244
171,-0.8681015
172,-0.9999022
173,-0.83156407
174,-0.98643893
175,-0.99092126
176,-0.92878896
177,-0.96272284
178,-0.99898416
179,-0.9967707
180,-0.99996763
181,-0.97908473
182,-0.9999927
183,-0.9563497
184,-0.9984005
185,-0.9957641
186,-0.8302712
187,-0.9415246
188,-0.99997276
189,-0.96992594
190,-0.97224206
191,-0.9877173
192,-0.99430865
193,-0.963442
194,-0.96869797
195,-0.9708931
196,-0.99322534
197,-0.8716728
198,-0.997473
199,-0.984401
200,-0.99534696
201,-0.96889156
202,-0.98449624
203,-0.9663746
204,-0.9890962
205,-0.9986465
206,-0.76711684
207,-0.9960257
208,-0.84968406
209,-0.99006927
210,-0.831864
211,-0.99571824
212,-0.99844545
213,-0.99991614
214,-0.96925193
215,-0.9122174
216,-0.98099864
217,-0.9984574
218,-0.9995176
219,-0.8639912
220,-0.99811155
221,-0.78336936
222,-0.97190714
223,-0.43252382
224,-0.09736439
225,-0.5918454
226,-0.99933296
227,-0.999592
228,-0.9890205
229,-0.5484249
230,-0.9999461
231,-0.43915993
232,-0.9870689
233,-0.9979764
234,-0.99224365
235,-0.5685523
236,-0.7162733
237,-0.9910628
238,-0.98606914
239,-0.9969751
240,-0.99558496
241,-0.9987596
242,-0.9940159
243,-0.15696958
244,-0.8543437
245,-0.8322557
246,-0.96949875
247,-0.99912953
248,-0.9998343
249,-0.99915886
250,-0.9985685
251,-0.99425614
252,-0.988211
253,-0.9955022
254,-0.9980833
255,-0.9407131
256,-0.99867165
257,-0.13145395
258,-0.99937993
259,-0.9997798
260,-0.95132685
261,-0.9398811
262,-0.9569421
263,-0.51326364
264,-0.9915792
265,-0.8377339
266,-0.998006
267,-0.99032927
268,-0.99935234
269,-0.9917804
270,-0.8353991
271,-0.84312415
272,-0.99997216
273,-0.5798469
274,-0.6330353
275,-0.9434981
276,-0.9980064
277,-0.99997824
278,-0.9992549
279,-0.9962152
280,-0.6988333
281,-0.54404527
282,-0.9999863
283,-0.77979773
284,-0.74247235
285,-0.59468275
286,-0.925279
287,-0.4480501
288,-0.47223532
289,-0.76342946
290,-0.3964871
291,-0.43509296
292,-0.9999357
293,-0.17838693
294,-0.56397
295,-0.73520553
296,-0.99138534
297,-0.71781385
298,-0.8818362
299,-0.17974885
300,-0.41135302
301,-0.696352
302,-0.3949706
303,-0.44138634
304,-0.48547503
305,-0.8505835
306,-0.4425792
307,-0.9960869
308,-0.20610216
309,-0.99981946
310,-0.39044157
311,-0.3112339
312,-0.32924053
313,-0.698168
314,-0.41722268
315,-0.18360361
316,-0.35566044
317,-0.47080317
318,-0.17887168
319,-0.7754939
320,-0.5132618
321,-0.38459632
322,-0.16614641
323,-0.210823
324,-0.98860073
325,-0.90125
326,-0.47540617
327,-0.11580913
328,-0.77921873
329,-0.28557006
330,-0.56672066
331,-0.2766705
332,-0.701849
333,-0.33289453
334,-0.48540923
335,-0.26658493
336,-0.19026801
337,-0.7530578
338,-0.8842708
339,-0.47775957
340,-0.7503302
341,-0.18586874
342,-0.31418067
343,-0.9861641
344,-0.999984
345,-0.99934536
346,-0.9884595
347,-0.7690739
348,-0.4589003
349,-0.41446376
350,-0.99999976
351,-0.99999774
352,-0.9999955
353,-0.48018423
354,-0.8761703
355,-0.74280536
356,-0.97113514
357,-0.7659615
358,-0.45649174
359,-0.7043011
360,-0.8859393
361,-0.88984376
362,-0.99999917
363,-0.9999994
364,-0.8189089
365,-0.7660248
366,-0.8608646
367,-0.99833316
368,-0.922187
369,-0.8048341
370,-0.29393756
371,-0.9041998
372,-0.44528052
373,-0.3824196
374,-0.5041474
375,-0.35262802
376,-0.75264865
377,-0.7780938
378,-0.9909868
379,-0.29104254
380,-0.290048
381,-0.4933431
382,-0.39188
383,-0.9657024
384,-0.5869338
385,-0.7537694
