,metric,value,fold,target
0,MSE,0.06936623901128769,1,actual
1,MAE,0.1901799440383911,1,actual
2,MdAE,0.14247991144657135,1,actual
3,ACPER,0.08143939393939394,1,actual
4,MAPE,0.10601635277271271,1,actual
5,RMSE,0.2633747160434723,1,actual
6,R2,0.01096077640395221,1,actual
7,MSE,0.07670804113149643,2,actual
8,MAE,0.19600392878055573,2,actual
9,MdAE,0.14075100421905518,2,actual
10,ACPER,0.04554079696394687,2,actual
11,MAPE,0.42705824971199036,2,actual
12,RMSE,0.27696216106414795,2,actual
13,R2,-0.017108628861268516,2,actual
14,MSE,0.07506284862756729,3,actual
15,MAE,0.19179391860961914,3,actual
16,MdAE,0.13038340210914612,3,actual
17,ACPER,0.0872865275142315,3,actual
18,MAPE,0.0027604075148701668,3,actual
19,RMSE,0.27397599816322327,3,actual
20,R2,0.06424362040931209,3,actual
21,MSE,0.07042016834020615,4,actual
22,MAE,0.19254763424396515,4,actual
23,MdAE,0.1439509093761444,4,actual
24,ACPER,0.06072106261859583,4,actual
25,MAPE,0.3579288721084595,4,actual
26,RMSE,0.2653679847717285,4,actual
27,R2,0.15197127879982675,4,actual
28,MSE,0.07209579646587372,5,actual
29,MAE,0.18971312046051025,5,actual
30,MdAE,0.13795337080955505,5,actual
31,ACPER,0.05502846299810247,5,actual
32,MAPE,0.2647934854030609,5,actual
33,RMSE,0.26850661635398865,5,actual
34,R2,0.16388499654305966,5,actual
