,0
0,-0.8402382
1,-0.9997766
2,-0.99997354
3,-0.9999881
4,-0.99765104
5,-0.63231534
6,-0.999926
7,-0.9999601
8,0.7715496
9,-0.99999547
10,-0.91326874
11,-0.830776
12,0.78246087
13,-0.99862325
14,-0.92239326
15,0.73027766
16,-0.37469667
17,0.60781324
18,0.68962157
19,-0.980971
20,-0.670522
21,-0.98434037
22,0.7749281
23,0.83093584
24,0.8324935
25,-0.5048187
26,0.8261521
27,0.4697857
28,-0.9932628
29,-0.9743006
30,0.8131588
31,-0.7899502
32,-0.84282553
33,0.81511223
34,-0.9923559
35,0.8223655
36,-0.77883327
37,-0.8657573
38,-0.7127756
39,-0.85351336
40,-0.9545887
41,-0.91253006
42,-0.89049774
43,-0.9845197
44,-0.97139114
45,-0.7236182
46,-0.99758106
47,-0.901721
48,-0.9557562
49,-0.99897987
50,-0.9995246
51,-0.9260741
52,-0.966781
53,-0.9159306
54,-0.7412077
55,-0.9997049
56,-0.9963574
57,-0.9458041
58,-0.99885225
59,-0.990854
60,-0.98327637
61,-0.93312764
62,-0.9250358
63,-0.96836686
64,-0.94655746
65,-0.9999892
66,-0.9756045
67,-0.7890508
68,-0.9839839
69,-0.77862865
70,-0.9317474
71,-0.9482992
72,-0.7880947
73,-0.90019876
74,-0.92513806
75,-0.99999475
76,-0.9057979
77,-0.83613765
78,-0.98502815
79,-0.93597096
80,-0.99645567
81,-0.8136999
82,-0.7847912
83,-0.9537923
84,-0.9419101
85,-0.8444646
86,-0.9999339
87,-0.8525267
88,-0.7625918
89,-0.99794817
90,-0.9999919
91,-0.9276573
92,-0.8095856
93,-0.99340767
94,-0.9900622
95,-0.8481893
96,-0.9592353
97,-0.9048543
98,-0.97469527
99,-0.99999523
100,-0.59520453
101,-0.86870354
102,-0.5623171
103,-0.9835315
104,-0.9765335
105,-0.999687
106,-0.9198651
107,-0.961544
108,-0.8070136
109,-0.9568399
110,-0.91601795
111,-0.8569965
112,-0.9052612
113,-0.80631435
114,-0.81025314
115,-0.91568255
116,-0.94762605
117,-0.8749963
118,-0.9527702
119,-0.9999935
120,-0.89340526
121,-0.86014104
122,-0.9310707
123,-0.94932437
124,-0.98383844
125,-0.85193074
126,-0.95701915
127,-0.83628374
128,-0.7884911
129,-0.999967
130,-0.9803696
131,-0.72645175
132,-0.9489159
133,-0.77572966
134,-0.7984318
135,-0.9206789
136,-0.99755925
137,-0.98723406
138,-0.83377343
139,-0.9080359
140,-0.9980144
141,-0.9916307
142,-0.95475614
143,-0.9501513
144,-0.99921906
145,-0.9070641
146,-0.8414482
147,-0.9849579
148,-0.9999778
149,-0.8428439
150,-0.8176211
151,-0.9978245
152,-0.7071872
153,-0.7143404
154,-0.9997403
155,-0.9936187
156,-0.9920652
157,-0.9914229
158,-0.9450481
159,-0.98732555
160,-0.99709046
161,-0.9606339
162,-0.83405024
163,-0.8135098
164,-0.98552555
165,-0.99012136
166,-0.93277895
167,-0.9647833
168,-0.83583057
169,-0.9936888
170,-0.99803984
171,-0.99729383
172,-0.9913997
173,-0.95377874
174,-0.98845726
175,-0.9997107
176,-0.98208493
177,-0.9953914
178,-0.906915
179,-0.9982066
180,-0.8282876
181,-0.988006
182,-0.99033
183,-0.9653879
184,-0.9840533
185,-0.9883003
